4443459,2058076,1316455,3856507
1865227,4760267,3073572,4790511
4549595,1029021,3822797,2171396
4935300,3849012,2346316,2964016
4819333,4556747,1541801,2918690
3563607,4045042,3642052,3974133
4809436,4796844,2872430,4046137
4483570,1539606,3328362,242339
1772837,4023556,1684858,3814057
4041280,4675791,3631559,4420383
934877,836885,4842450,3793941
4082814,4713236,3529725,4974497
1558377,733790,2920946,2519773
893640,4847629,4395823,3426844
3839515,646303,2781068,2435413
688420,1079178,2414598,2464401
4560443,4016926,633606,754097
3024915,4434340,2596727,3715554
77694,1722876,4472126,974984
3131010,1309541,2350976,1258898
957170,558736,973898,350607
4118666,3898123,3009739,3484012
3933233,3545617,635700,2652944
27149,1352181,1286591,3551242
1374644,2797295,948993,3144155
748536,4174705,410518,2706822
1407544,715315,1963383,2248623
2010172,4374151,1635263,3524131
4550043,3278045,4023251,622379
1561165,2178812,1441474,2873458
2883762,4370890,323040,1175221
467933,4850352,1149123,948430
2882598,3905442,1317453,2459448
4907228,1142490,1033852,14988
1555976,1603953,4297753,4049554
985356,3717608,518087,2189450
4402665,1650372,2513760,4095638
2641046,1706132,1778942,1741658
908338,703396,4254453,4612923
2145341,263216,1834292,12321
2736866,4538695,1500676,3518740
642321,315330,679528,1591188
2896166,792901,1237740,4294235
720029,4469145,2098787,97166
1874586,2276106,1431296,2149850
1124499,3506953,1815481,416100
2666541,4508997,2932539,2615558
75019,2093266,4677925,649039
4573956,2014460,3619057,1902930
920884,833799,2205433,2018898
3327270,3737123,2070156,1107790
1894351,4136532,335654,3679681
3296153,4163832,1257546,381769
4140765,4065144,2409535,123284
1980021,87398,1598818,2202163
2131732,1644594,823047,4755160
3413388,2893550,1724270,1336554
3420790,2774755,3781340,138269
4358387,3841881,855189,3089734
2590382,2020683,2422378,3712451
2590060,2991902,1800559,2227694
1673777,2950687,2733431,1906281
3567393,4209569,2946465,4984751
4239923,4534895,2290726,1075709
384474,1277813,3465783,2474267
259354,4127910,899982,4748591
2913833,2492511,2134579,2235770
4450792,2703931,2427043,3639315
1281713,4439429,1227623,904081
4468954,100499,825339,1949926
1621969,4154779,1458413,3422367
3321308,584617,4520672,2769732
270501,1201689,4246721,4563241
3873122,3874075,2338694,2525658
2813492,1188083,1130972,3494081
3673063,1750917,3504333,1063631
2236165,3048537,2456616,3712606
1452011,4118038,4030669,4425278
860605,3414078,1641920,536756
2426681,1018550,2344236,1328426
4997778,3449477,1834580,1991399
2402998,3972721,4189537,4253098
4028380,896177,205074,2138277
1314028,3124081,3557640,3740392
2674932,1097871,616186,653407
2966624,1712966,1920619,1698298
3622991,4699653,2411377,3891810
1673855,1297827,1567560,520560
4599222,3084723,1312194,3486080
335744,3751182,431769,3754218
2268784,1882581,1566713,1030677
3523511,1711056,2848915,2134298
2426000,2930238,3515761,936086
1294141,2065979,3167578,1738375
3549492,4942043,2911751,344728
2843551,818252,1619907,1654638
1692653,664467,2074293,2861930
3141128,982731,986072,2408003
3515103,2884566,4045552,2635677
2371834,2292210,2289393,1584658
3080761,4282672,3024922,76936
2108691,450467,527234,3696570
4635364,982822,1007491,3262955
941070,3171124,382971,3080761
1263837,380913,1094376,3743647
3736845,2766145,2734252,1401951
763515,2668503,4857683,333758
4571230,1747206,1169821,4726399
4324227,4114662,81196,2409789
2880747,3883221,1616959,2387125
1294179,738779,1640549,3135988
4334226,422861,738464,2914490
2418518,511730,870910,3305690
2307241,661500,459381,673818
256744,777934,3669319,4709903
580660,27417,4903938,4737482
3249642,3321999,3006092,3225825
2464476,336885,4746933,3509231
2860532,3257726,3742484,3590433
4111548,4375520,984466,3190981
4176676,1948532,4978807,234701
2878184,2358515,2334564,2439825
1727219,4298446,2364545,4895838
3866473,2559474,3084556,1675069
2857707,4299038,1419232,4785121
2464358,4463054,217241,1666931
834850,944964,2971485,892410
3878470,578147,636494,2499820
2807761,3419197,3913128,1668382
2397597,647381,675148,1355638
3177542,282069,126273,3626928
2817388,901231,226369,865621
1045351,4549959,527635,2536805
3735199,998592,4133240,179804
2416906,996746,744440,1801439
670252,4971980,3328342,1658912
3712889,3745367,139157,2579865
4981272,4814105,1726264,737759
601111,1071650,3640363,4119813
2088414,3291267,3771187,1202056
1098278,1266947,4187404,2021317
1666806,2079795,1002019,962440
4924446,3698547,542384,4518677
4475812,954448,530133,4738410
4550118,2433902,1026734,1136754
3011709,4643858,2936874,4926102
1296499,1302013,4575526,2725677
3472220,1823154,2719207,2111223
3792962,3265214,3591891,2675965
