11935,12641,12494,12913
12166,14780,11905,11969
12124,14417,10949,13805
11316,11966,13549,13232
10237,12313,10146,11490
10349,10031,14738,14236
11429,11663,12277,12368
10627,12094,12898,14991
11367,10738,10110,12154
14968,13751,11135,12505
10989,14855,11093,13128
10855,14248,10869,13935
13038,13478,10826,13190
10769,13662,11884,13032
13339,13024,12583,13782
14512,13946,11203,12182
12126,12182,10213,11022
11365,10948,13542,14060
10521,12817,12505,11639
11136,14987,13184,14054
14450,14749,13878,14054
11350,14637,11713,13857
13812,14043,11270,12362
11988,13963,13198,10927
11025,12638,14864,10127
14582,14584,11437,13241
13576,10673,12671,11931
11975,12040,10988,11592
12249,13592,10797,12085
14456,13298,10214,12655
14820,12198,11316,13634
12442,11196,10236,12538
11599,12317,14115,11615
12148,12472,12995,12051
11182,14799,13227,11808
14556,13503,13267,11927
11660,10087,14378,14220
14566,12382,11762,14733
11650,11578,14925,11909
13209,11603,12613,13853
13363,13682,13392,14808
11759,14185,14102,14020
14408,10712,12333,13666
12772,13399,11849,10494
11829,11240,11001,12384
11214,12155,11795,14529
14591,10383,13857,11317
10019,10834,11255,10262
13312,12975,12356,14129
11382,12943,12787,14424
12623,12247,12719,11393
13422,14877,11270,10157
13279,11135,14567,13276
11750,10823,13766,14892
13616,12524,12753,12591
14364,13486,12871,12672
13874,13170,11419,14172
10835,13046,12121,13403
12831,13940,12624,11229
11181,13478,14802,14770
14337,14074,11976,12288
11653,13611,13471,14385
11196,13274,13786,13139
10905,10770,11610,12818
14062,14144,10995,11029
14220,10848,10631,10450
11084,11759,11663,13851
12312,12683,11504,10104
14549,12960,12104,10500
11889,11647,13652,10627
12781,12579,10673,14537
12615,10746,14660,10923
10205,12317,14871,13677
10120,14102,14629,10566
14466,13737,11779,12844
14263,12892,10646,13453
10936,12150,10840,12891
10564,11699,13629,13037
14919,12472,10898,13154
12740,12881,14573,11322
14220,11269,13090,14862
13162,10453,12036,14663
13277,13552,14549,11679
11146,11665,10340,14855
12356,11149,11994,13473
10995,14751,14729,12466
12632,13415,11316,10451
10414,12489,11195,14791
14791,10706,13288,13958
13449,12770,11089,11927
12630,10345,14192,10395
13620,14401,10734,13950
14390,14573,11071,13481
13223,14060,13067,14134
12016,11969,11873,14159
10953,14181,14456,13506
10406,13540,12432,14386
11028,10774,10517,14944
13505,13573,13289,10010
12614,13722,14784,13196
