2704181,2205744,2225913,292433
623000,2828395,3569409,1599598
487601,975991,1680800,2115993
2756397,2297011,328973,3467064
4852581,2797461,4516819,2205946
4359128,190615,471821,3037859
198452,836104,3390680,3344758
3903365,153432,3438722,4408554
949795,976750,2746769,1746272
3004717,4609767,1631172,729819
1417052,3041825,4092936,4765629
1329104,659535,2439511,2796606
2482278,128507,929589,1792402
1399661,1753743,458418,1918742
14165,2840311,2307116,787730
252938,4251242,2530932,3646131
598654,2150609,1924221,982765
4274748,714910,2280721,2987898
1353852,3075517,361187,527710
2520875,862109,3602639,3149685
1823702,460056,1172774,2357797
3912660,1405404,2095115,3203031
2211774,2464998,503732,1118599
2734024,3605317,1633527,584507
4301994,1750192,3923668,1972972
4986691,4143807,1575540,2015998
3183110,3764495,3193748,1331589
4994712,3405239,2858298,4287189
2110883,1685067,1318912,2465355
4139911,317347,2509248,9364
418786,974687,3673120,2211200
4443353,4666357,1515199,1316625
2284804,1814532,1166405,4267950
1873205,2933288,318148,2145161
4216995,1561807,1106637,524516
3235187,806590,1835875,4117334
3052282,4178001,1814195,973871
59019,4759068,1966839,2910250
3763644,2636999,1851048,4928251
3722797,3351649,3291310,769827
3449427,2593211,2814858,2233219
650094,4255131,2254704,3223074
2681142,177714,4890925,30697
1088410,611648,4949348,4706059
181377,193432,364701,3290098
1255902,2932658,2638788,3578920
521747,1036280,75196,3845992
1213598,949483,4491793,1268775
4473335,1970575,1915660,3021541
2184464,4974264,1372758,3715391
1722983,1725129,4429385,274433
2741469,1465232,2300662,3545799
2056277,599057,350094,934281
3039702,4042873,198019,955969
297648,4644781,148236,223885
4455455,1059259,2047874,4507454
1214614,4644091,3651220,891256
464375,4964185,3142650,2859359
3681763,4065668,4384244,3089149
3877518,724567,1697878,2060515
4057058,1922072,3757087,2112566
1276013,3298024,2194915,702615
2638059,2359104,1957531,44448
4287849,2101528,3257136,4514455
1518708,2441369,347932,626910
711400,1307413,139447,3214330
3077632,446738,1651579,499685
2506920,2754976,3104082,1191825
3113633,3234138,3750421,4337709
3659444,962437,2527805,3587907
2995860,3226531,1837948,43310
528681,331319,2067319,1805774
2757150,3194227,37403,4631275
3739802,2708145,2372031,3590139
4974136,3510066,545272,3422690
329564,3540824,3250573,1832666
2983637,710430,2570774,1120308
2482907,4493719,4786448,4523782
869432,2219329,461363,3505099
4859612,1606299,1844139,143297
3096591,4889040,3731412,755405
1756432,3673561,687192,4114026
1548135,119042,3523198,4755411
1749249,259086,4437223,4199635
4801438,2288616,2458770,4106648
3155275,2227428,4956783,4872121
4588383,4566922,2864963,1370171
1299577,4243633,867835,34768
20479,3236664,1302828,1797138
3247972,549577,3677366,4562937
3995936,4114300,322054,4571483
1167977,1291159,4110664,2076156
4008008,4434973,4944366,2666421
534853,3356872,25072,4973766
2946116,4078238,3234265,2866630
1956194,1942351,131052,2543672
3322801,2376052,4997357,4347522
1575539,316890,2649503,3894079
2273672,2670785,4243653,1234264
4128721,3706448,264496,3906771
2424239,2683138,2629711,3856306
4717526,2657092,1390863,4415016
1183772,2211137,1233307,716855
923410,4577669,2238708,1712271
4034675,2968978,2913099,3602740
2845473,4463610,1742029,707835
713006,3742714,2418016,2695676
2691202,468207,3394407,4744919
1132461,652129,2685837,82626
4234309,2475147,356359,1939090
1703380,1000155,2350907,282397
3721204,1381352,3890068,4855086
578913,4685474,3773591,4589675
4078584,4860915,2090737,3483024
602880,1468130,372642,965200
2074445,3843626,4763523,3223216
4420873,535850,4121559,4437050
1546352,1977111,303759,874558
2867371,4119857,4069659,3562268
2427149,1112762,4453573,3982483
3466879,1395908,4675680,1890973
1147898,3166867,617224,3255421
1386896,2360954,3495901,3598415
87486,2381672,3723998,2417273
1820847,75661,4619037,3943942
1859810,958790,1884692,3808321
3100770,2875780,3670904,3810604
4473685,4332826,1000350,1143546
4527606,2607347,3660024,4947330
4534047,1669557,2994433,1389298
3894793,4735265,3482556,3793589
4957375,1338474,2210835,822843
887354,1908151,4911876,1194882
892799,2057653,1524237,3409974
870501,1511923,2574539,4912158
3007027,4035345,4760954,253742
387244,3175081,1175091,4381053
4708227,2246332,4459622,4761152
4758124,4772928,2292530,2697784
4340298,3614137,3385310,1113580
1576718,278696,3669519,1860624
1988403,4663318,3372507,1301453
151030,4392635,1098460,2218798
1176093,1475136,1206550,4935514
3805590,1055933,1853628,1773082
2804152,4923482,2140405,855188
4279962,156546,895215,2401485
4828632,3949778,2804105,4230188
1866054,1481840,34785,3470398
1974138,2946920,3227888,4187053
845030,198150,132967,301081
1562553,4807077,3923781,3525624
2954473,1641161,2338809,2666916
508043,1366932,2107380,161846
4192526,561743,2285555,3588224
2454705,748474,2010357,3372217
2773554,2369367,1328053,3873564
2836564,1628682,4888637,3876704
325650,1002430,2862853,1716511
1440764,1427400,2022254,4524166
3678073,4956747,1311385,2832281
1572123,2124305,1383886,1901929
1580919,3705441,2236848,3671312
